,How confident are you in your understanding of Mathematics?  ,"How would you rate your performance in subjects related to Mathematics (e.g., Mathematics, Physics, Computer Science)?  ","How interested are you in pursuing a career in fields that require strong mathematical skills (e.g., Engineering, Data Science, Finance, Research)?  ",How important is a career that involves Mathematics for you?  , How do you rate your problem-solving skills in mathematical contexts?  ,Do you enjoy working on math-related projects or problems?  ,Do you prefer working in teams for solving math-related problems?  ,"How comfortable are you with using technology or software (e.g., Java, Python, C, etc) for solving mathematical problems?  ",Suggested Degree
0,Confident,Average,Slightly Interested,Somewhat Important,Good,Sometimes,Yes,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
1,Confident,Excellent,Very Interested,Very Important,Excellent,Yes,Yes,Neutral/Somewhat Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
2,Confident,Excellent,Interested,Very Important,Excellent,Yes,It depends,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
3,Confident,Excellent,Neutral/Somewhat Interested,Not Important,Good,Yes,Yes,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
4,Slightly Confident,Average,Slightly Interested,Very Important,Average,No,No,Slightly Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
5,Confident,Excellent,Interested,Very Important,Good,Yes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
6,Confident,Excellent,Interested,Very Important,Good,Sometimes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
7,Slightly Confident,Average,Slightly Interested,Very Important,Average,Sometimes,Yes,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
8,Confident,Good,Interested,Very Important,Good,Yes,It depends,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
9,Neutral/Somewhat Confident,Average,Interested,Somewhat Important,Average,Yes,It depends,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
10,Neutral/Somewhat Confident,Good,Interested,Somewhat Important,Average,Yes,It depends,Not Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
11,Neutral/Somewhat Confident,Good,Very Interested,Very Important,Good,Yes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
12,Neutral/Somewhat Confident,Good,Neutral/Somewhat Interested,Somewhat Important,Good,Yes,Yes,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
13,Slightly Confident,Good,Very Interested,Very Important,Average,Yes,Yes,Not Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
14,Neutral/Somewhat Confident,Good,Neutral/Somewhat Interested,Somewhat Important,Good,Yes,It depends,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
15,Slightly Confident,Average,Slightly Interested,Very Important,Average,Yes,Yes,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
16,Slightly Confident,Good,Interested,Somewhat Important,Good,Yes,Yes,Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
17,Confident,Good,Interested,Very Important,Good,Yes,It depends,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
18,Slightly Confident,Average,Slightly Interested,Somewhat Important,Average,Sometimes,Yes,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
19,Not Confident,Average,Not Interested,Very Important,Good,Yes,Yes,Not Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
20,Confident,Average,Slightly Interested,Very Important,Below Average,No,Yes,Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
21,Neutral/Somewhat Confident,Average,Neutral/Somewhat Interested,Very Important,Average,Sometimes,Yes,Not Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
22,Slightly Confident,Average,Interested,Somewhat Important,Average,Yes,It depends,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
23,Neutral/Somewhat Confident,Good,Very Interested,Very Important,Good,Yes,Yes,Neutral/Somewhat Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
24,Not Confident,Average,Slightly Interested,Very Important,Not Good,No,Yes,Not Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
25,Confident,Good,Slightly Interested,Somewhat Important,Average,Sometimes,Yes,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
26,Neutral/Somewhat Confident,Good,Slightly Interested,Somewhat Important,Average,Sometimes,It depends,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
27,Confident,Good,Interested,Very Important,Good,Yes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
28,Confident,Excellent,Interested,Very Important,Excellent,Yes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
